"internalId"	"name"	"source"	"npcValue"	"lore"	"flags"	"category"	"recipes"
"ENCHANTMENT_EXECUTE_6"	"Execute VI"	"HypixelBazaar"	0	"&7&9Execute VI
&7Increases damage dealt by &a1.25% &7for
&7each percent of health missing on
&7your target.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &3200 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_FIRE_ASPECT_1"	"Fire Aspect I"	"HypixelBazaar"	0	"&7&9Fire Aspect I
&7Ignites your enemies for &a3s&7, dealing
&a3% &7of your damage per second.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &315 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_FRAIL_6"	"Frail VI"	"HypixelBazaar"	0	"&7&9Frail VI
&7Sea creatures start with &a15%
&7reduced health.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &375 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_IMPALING_2"	"Impaling II"	"HypixelBazaar"	0	"&9Impaling II

&7Increases damage dealt to &9⚓

&9Aquatic&7 mobs by &a10%&7.



&7Applicable on: &9Bow&7, &9Fishing Rod&7, &9Melee

&9Weapon

&7Apply Cost: &315 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&f&lCOMMON&r"			
"ENCHANTMENT_VENOMOUS_7"	"Venomous VII"	"HypixelWikiEnchantment"	0	""			
"MITHRIL_GENERATOR_12"	"Mithril Minion XII"	"HypixelAPI"	0	"&7Place this minion and it will start
&7generating and mining mithril ore!
&7Requires an open area to place
&7mithril ore. Minions also work when
&7you are offline!

&7Time Between Actions: &a50s
&7Max Storage: &e960
&7Resources Generated: &b0

&9&lRARE&r"		"Item"	
"MITHRIL_GENERATOR_4"	"Mithril Minion IV"	"HypixelAPI"	0	"&7Place this minion and it will start
&7generating and mining mithril ore!
&7Requires an open area to place
&7mithril ore. Minions also work when
&7you are offline!

&7Time Between Actions: &a75s
&7Max Storage: &e384
&7Resources Generated: &b0

&9&lRARE&r"		"Item"	"[{""name"":""first"",""type"":""crafting"",""resultId"":""MITHRIL_GENERATOR_4"",""resultQuantity"":1,""crafting"":{""1"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""2"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""3"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""4"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""5"":{""itemId"":""MITHRIL_GENERATOR_3"",""quantity"":1},""6"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""7"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""8"":{""itemId"":""MITHRIL_ORE"",""quantity"":64},""9"":{""itemId"":""MITHRIL_ORE"",""quantity"":64}}}]"
"ENCHANTMENT_FEROCIOUS_MANA_1"	"Ferocious Mana I"	"HypixelBazaar"	0	"&7&9Ferocious Mana I
&7Gain &a0.1% &7of mana used near you as
&c⫽ Ferocity&7 for 10 seconds, capped
&7at 50 &c⫽ Ferocity&7.

&7Applicable on: &9Armor
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"GODSEED"	"Godseed"	"HypixelAPI"	0	""			
"THUNDERLING"	"Thunderling"	"HypixelAPI"	0	""			
"ENCHANTMENT_TURBO_CACTUS_1"	"Turbo-Cacti I"	"HypixelBazaar"	0	"&7&9Turbo-Cacti I
&7Grants &6+5☘ Cactus Fortune&7.

&7Applicable on: &9Axe&7, &9Hoe
&7Apply Cost: &310 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_MAGNET_3"	"Magnet III"	"HypixelBazaar"	0	"&7&9Magnet III
&7Grants &a3 &7additional experience orbs
&7every time you successfully catch a
&7fish.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_EXPERIENCE_2"	"Experience II"	"HypixelBazaar"	0	"&7&9Experience II
&7Grants a &a25% &7chance for mobs and
&7ores to drop double experience.

&7Applicable on: &9Melee Weapon&7, &9Mining
&9Tools
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_ABSORB_4"	"Absorb IV"	"HypixelWikiEnchantment"	0	"&7&9Absorb IV
&7Grants &3+4☯ Foraging Wisdom &7and
&6+8☘ Foraging Fortune&7.
&8100k logs to tier up!

&7Applicable on: &9Axe
&e▲ &7Absorb cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_CRITICAL_6"	"Critical VI"	"HypixelBazaar"	0	"&7&9Critical VI
&7Increases &9☠ Crit Damage &7by &a70%&7.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &375 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_SMARTY_PANTS_2"	"Smarty Pants II"	"HypixelBazaar"	0	"&7&9Smarty Pants II
&7Grants &b+10✎ Intelligence&7.

&7Applicable on: &9Leggings
&7Apply Cost: &340 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_SUGAR_RUSH_3"	"Sugar Rush III"	"HypixelBazaar"	0	"&7&9Sugar Rush III
&7Grants &a+6 &f✦ Speed&7.

&7Applicable on: &9Boots
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_PROJECTILE_PROTECTION_3"	"Projectile Protection III"	"HypixelBazaar"	0	"&7&9Projectile Protection III
&7Grants &a+21 &a❈ Defense &7against
&7projectiles.

&7Applicable on: &9Armor
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_ABSORB_10"	"Absorb X"	"HypixelWikiEnchantment"	0	"&7&9Absorb X
&7Grants &3+10☯ Foraging Wisdom &7and
&6+20☘ Foraging Fortune&7.

&7Applicable on: &9Axe
&e▲ &7Absorb cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&d&lMYTHIC&r"			
"ENCHANTMENT_SMARTY_PANTS_3"	"Smarty Pants III"	"HypixelBazaar"	0	"&7&9Smarty Pants III
&7Grants &b+15✎ Intelligence&7.

&7Applicable on: &9Leggings
&7Apply Cost: &360 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_CLEAVE_1"	"Cleave I"	"HypixelBazaar"	0	"&7&9Cleave I
&7Deals up to &a5% &7of your damage dealt
&7to other monsters within &a3.5 &7blocks
&7of the target.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &310 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_GIANT_KILLER_7"	"Giant Killer VII"	"HypixelBazaar"	0	"&7&9Giant Killer VII
&7Increases damage dealt by &a1.2% &7for
&7each percent of extra health that
&7your target has above you up to &a65%&7.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &3200 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&5&lEPIC&r"			
"ENCHANTMENT_GREEN_THUMB_3"	"Green Thumb III"	"HypixelBazaar"	0	"&7&9Green Thumb III
&7Grants &60.15☘ Farming Fortune &7per
&7unique visitor served.

&7Can be applied to Equipment.

&7Applicable on: &9Equipment
&7Apply Cost: &3150 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_EXECUTE_1"	"Execute I"	"HypixelBazaar"	0	"&7&9Execute I
&7Increases damage dealt by &a0.2% &7for
&7each percent of health missing on
&7your target.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_HARDENED_MANA_2"	"Hardened Mana II"	"HypixelBazaar"	0	"&7&9Hardened Mana II
&7Gain &a0.2% &7of mana used near you as
&a❈ Defense&7 for 10 seconds, capped
&7at 400 &a❈ Defense&7.

&7Applicable on: &9Armor
&7Apply Cost: &345 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_HARVESTING_4"	"Harvesting IV"	"HypixelBazaar"	0	"&7&9Harvesting IV
&7Grants &a+50 &6☘ Farming Fortune&7, which
&7increases your chance for multiple
&7crops.

&7Can be applied to Hoes.

&7Applicable on: &9Hoe
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_PROSECUTE_5"	"Prosecute V"	"HypixelBazaar"	0	"&7&9Prosecute V
&7Increases damage dealt by &a0.7% &7for
&7each percent of health your target
&7has.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &350 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&a&lUNCOMMON&r"			
"ENCHANTMENT_DEPTH_STRIDER_1"	"Depth Strider I"	"HypixelBazaar"	0	"&7&9Depth Strider I
&7Reduces how much you are slowed in
&7the water by &a33%&7.

&7Applicable on: &9Boots
&7Apply Cost: &310 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_CHANCE_2"	"Chance II"	"HypixelBazaar"	0	"&7&9Chance II
&7Increases the chance of a Monster
&7dropping an item by &a30%&7.

&7Applicable on: &9Bow
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_ANGLER_1"	"Angler I"	"HypixelBazaar"	0	"&7&9Angler I
&7Grants &3+1α Sea Creature Chance&7.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &310 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_EFFICIENCY_8"	"Efficiency VIII"	"HypixelBazaar"	0	"&7&9Efficiency VIII
&7Grants &a+170 &6⸕ Mining Speed&7.

&7Applicable on: &9Mining Tools&7, &9Tools
&7Use this on an item in an Anvil to
&7apply it!

&6&lLEGENDARY&r"			
"SWORD_OF_LIVE_RELOADING"	"Sword of Live Reloading"	"HypixelAPI"	0	""			
"HELMET_OF_LIVE_RELOADING"	"Helmet of Live Reloading"	"HypixelAPI"	0	""			
"ENCHANTMENT_IMPALING_1"	"Impaling I"	"HypixelBazaar"	0	"&9Impaling I

&7Increases damage dealt to &9⚓

&9Aquatic&7 mobs by &a5%&7.



&7Applicable on: &9Bow&7, &9Fishing Rod&7, &9Melee

&9Weapon

&7Apply Cost: &310 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&f&lCOMMON&r"			
"ENCHANTMENT_PRISTINE_3"	"Prismatic III"	"HypixelBazaar"	0	"&7&9Prismatic III
&7Grants &5+1.5 &5✧ Pristine&7, which
&7increases the chance to improve the
&7quality of dropped &dGemstones&7.

&7Applicable on: &9Mining Tools
&7Apply Cost: &3100 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_RAINBOW_2"	"Rainbow II"	"HypixelWikiEnchantment"	0	"&7&9Rainbow II
&7Grants a &a50% &7chance to change the
&7color of a sheep when shearing it.

&7Applicable on: &9Shears
&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_HARDENED_MANA_9"	"Hardened Mana IX"	"HypixelBazaar"	0	"&7&9Hardened Mana IX
&7Gain &a0.9% &7of mana used near you as
&a❈ Defense&7 for 10 seconds, capped
&7at 400 &a❈ Defense&7.

&7Applicable on: &9Armor
&7Apply Cost: &3360 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&d&lMYTHIC&r"			
"ENCHANTMENT_GIANT_KILLER_2"	"Giant Killer II"	"HypixelBazaar"	0	"&7&9Giant Killer II
&7Increases damage dealt by &a0.2% &7for
&7each percent of extra health that
&7your target has above you up to &a10%&7.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_AIMING_1"	"Dragon Tracer I"	"HypixelBazaar"	0	"&7&9Dragon Tracer I
&7Arrows home towards dragons if
&7they are within &a2 &7blocks.

&7Applicable on: &9Bow
&7Apply Cost: &310 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_FEATHER_FALLING_2"	"Feather Falling II"	"HypixelBazaar"	0	"&7&9Feather Falling II
&7Increases how high you can fall
&7before taking fall damage by &a2&7 and
&7reduces fall damage by &a10%&7.

&7Applicable on: &9Boots
&7Apply Cost: &315 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_GREEN_THUMB_5"	"Green Thumb V"	"HypixelBazaar"	0	"&7&9Green Thumb V
&7Grants &60.25☘ Farming Fortune &7per
&7unique visitor served.

&7Can be applied to Equipment.

&7Applicable on: &9Equipment
&7Apply Cost: &3250 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&a&lUNCOMMON&r"			
"ENCHANTMENT_ICE_COLD_4"	"Ice Cold IV"	"HypixelBazaar"	0	"&7&9Ice Cold IV
&7Grants &b+4❄ Cold Resistance&7.

&7Applicable on: &9Armor
&7Apply Cost: &368 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_EXPERTISE_9"	"Expertise IX"	"HypixelBazaar"	0	"&7&9Expertise IX
&7Grants &3+5.4α Sea Creature Chance
&7and &3+18☯ Fishing Wisdom &7when killing
&7Sea Creatures.
&815k kills to tier up!

&7Applicable on: &9Fishing Rod
&7Apply Cost: &325 Exp Levels

&e▲ &7Expertise cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&d&lMYTHIC&r"			
"ENCHANTMENT_MANA_STEAL_3"	"Mana Steal III"	"HypixelBazaar"	0	"&7&9Mana Steal III
&7Regain &b0.75% &7of your mana on hit.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &330 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_DRAGON_HUNTER_3"	"Gravity III"	"HypixelBazaar"	0	"&9Gravity III

&7Increases damage dealt to ✈

&7Airborne mobs by &a15%&7.



&7Applicable on: &9Bow&7, &9Melee Weapon

&7Apply Cost: &320 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&f&lCOMMON&r"			
"ENCHANTMENT_EFFICIENCY_6"	"Efficiency VI"	"HypixelBazaar"	0	"&7&9Efficiency VI
&7Grants &a+130 &6⸕ Mining Speed&7.

&7Applicable on: &9Mining Tools&7, &9Tools
&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_CUBISM_4"	"Cubism IV"	"HypixelBazaar"	0	"&9Cubism IV

&7Increases damage dealt to &a⚂ Cubic

&7mobs by &a20%&7.



&7Applicable on: &9Bow&7, &9Melee Weapon

&7Apply Cost: &340 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&f&lCOMMON&r"			
"ENCHANTMENT_CHANCE_3"	"Chance III"	"HypixelBazaar"	0	"&7&9Chance III
&7Increases the chance of a Monster
&7dropping an item by &a45%&7.

&7Applicable on: &9Bow
&7Apply Cost: &345 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_LUCK_2"	"Luck II"	"HypixelBazaar"	0	"&7&9Luck II
&7Increases the chance for Monsters
&7to drop their armor by &a10%&7.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_MAGNET_6"	"Magnet VI"	"HypixelBazaar"	0	"&7&9Magnet VI
&7Grants &a6 &7additional experience orbs
&7every time you successfully catch a
&7fish.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &375 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_AIMING_4"	"Dragon Tracer IV"	"HypixelBazaar"	0	"&7&9Dragon Tracer IV
&7Arrows home towards dragons if
&7they are within &a8 &7blocks.

&7Applicable on: &9Bow
&7Apply Cost: &340 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_AIMING_OLD_2"	"Aiming II"	"HypixelWikiEnchantment"	0	"&7&9Aiming II
&7Arrows home towards nearby 
&7monsters if they are within &a4 &7blocks.

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_ARCANE_6"	"Woodsplitter VI"	"HypixelBazaar"	0	"&9Woodsplitter VI

&7Increases damage dealt to &2⸙

&2Woodland&7 mobs by &a40%&7.



&7Applicable on: &9Axe

&7Apply Cost: &3100 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&9&lRARE&r"			
"ENCHANTMENT_CHAMPION_10"	"Champion X"	"HypixelBazaar"	0	"&7&9Champion X
&7Gain &a10% &7extra Combat XP. The 2nd
&7hit on a mob grants &6+5 coins &7& &3+25
&7exp orbs.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &325 Exp Levels

&e▲ &7Champion cannot be combined!
&7Use this on an item in an Anvil to
&7apply it!

&d&lMYTHIC&r"			
"ENCHANTMENT_DEDICATION_4"	"Dedication IV"	"HypixelBazaar"	0	"&7&9Dedication IV
&7Grants &62☘ Farming Fortune &7for
&7crops, multiplied by your &aGarden
&7milestone for that crop.

&7Can be applied to Axes and Hoes.

&7Applicable on: &9Axe&7, &9Hoe
&7Apply Cost: &3100 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_FEATHER_FALLING_6"	"Feather Falling VI"	"HypixelBazaar"	0	"&7&9Feather Falling VI
&7Increases how high you can fall
&7before taking fall damage by &a6&7 and
&7reduces fall damage by &a30%&7.

&7Applicable on: &9Boots
&7Apply Cost: &360 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_VAMPIRISM_4"	"Vampirism IV"	"HypixelBazaar"	0	"&7&9Vampirism IV
&7Heals for &a4%&7 of your missing health
&7whenever you kill an enemy.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &340 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_SMOLDERING_3"	"Smoldering III"	"HypixelBazaar"	0	"&9Smoldering III

&7Increases damage dealt to &4♨

&4Infernal&7 mobs by &a15%&7.



&7Applicable on: &9Bow&7, &9Melee Weapon

&7Apply Cost: &330 Exp Levels



&7Use this on an item in an Anvil to

&7apply it!



&f&lCOMMON&r"			
"ENCHANTMENT_BIG_BRAIN_4"	"Big Brain IV"	"HypixelBazaar"	0	"&7&9Big Brain IV
&7Grants &b+20✎ Intelligence&7.

&7Applicable on: &9Helmet
&7Apply Cost: &380 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"LARGE_ENCHANTED_MINING_SACK"	"Large Enchanted Mining Sack"	"HypixelAPI"	0	"&7Item pickups go directly into your
&7sacks.

&7This sack can contain all enchanted versions
&7of these materials:
&7&aCoal&7, &aCobblestone&7, &aDiamond&7, &aEmerald&7, &aEnd Stone&7,
&7&aFlint&7, &aGlacite&7, &aGlowstone Dust&7, &aGold Ingot&7, &aHard
&aStone&7, &aIron Ingot&7, &aLapis Lazuli&7, &aMithril&7, &aMycelium&7,
&7&aNether Quartz&7, &aNetherrack&7, &aObsidian&7, &aRed Sand&7,
&7&aRedstone&7, &aSand&7, &aSulphur&7, &aTitanium&7, &aTungsten&7,
&7&aUmber

&7Capacity: &e20,160 per item
&8Sacks sum their capacity.

&eRight Click to open sack!

&5&lEPIC&r"		"Item Sack"	"[{""name"":""first"",""type"":""crafting"",""resultId"":""LARGE_ENCHANTED_MINING_SACK"",""resultQuantity"":1,""crafting"":{""1"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""2"":{""itemId"":""ENCHANTED_STRING"",""quantity"":16},""3"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""4"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""5"":{""itemId"":""ENCHANTED_LEATHER"",""quantity"":12},""6"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""7"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""8"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16},""9"":{""itemId"":""ENCHANTED_COAL"",""quantity"":16}}}]"
"ENCHANTMENT_EFFICIENCY_10"	"Efficiency X"	"HypixelBazaar"	0	"&7&9Efficiency X
&7Grants &a+210 &6⸕ Mining Speed&7.

&7Applicable on: &9Mining Tools&7, &9Tools
&7Use this on an item in an Anvil to
&7apply it!

&d&lMYTHIC&r"			
"ENCHANTMENT_AIMING_OLD_3"	"Aiming III"	"HypixelWikiEnchantment"	0	"&7&9Aiming III
&7Arrows home towards nearby 
&7monsters if they are within &a6 &7blocks.

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_TURBO_PUMPKIN_5"	"Turbo-Pumpkin V"	"HypixelBazaar"	0	"&7&9Turbo-Pumpkin V
&7Grants &6+25☘ Pumpkin Fortune&7.
&7Requires &fSilver &7in a &aPumpkin Contest&7!

&7Applicable on: &9Axe
&7Apply Cost: &350 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&a&lUNCOMMON&r"			
"ENCHANTMENT_FEROCIOUS_MANA_7"	"Ferocious Mana VII"	"HypixelBazaar"	0	"&7&9Ferocious Mana VII
&7Gain &a0.4% &7of mana used near you as
&c⫽ Ferocity&7 for 10 seconds, capped
&7at 50 &c⫽ Ferocity&7.

&7Applicable on: &9Armor
&7Apply Cost: &3240 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&5&lEPIC&r"			
"ENCHANTMENT_SPIKED_HOOK_6"	"Spiked Hook VI"	"HypixelBazaar"	0	"&7&9Spiked Hook VI
&7Fishing rod deals &a30%&7 more damage
&7to monsters.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &375 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_ANGLER_6"	"Angler VI"	"HypixelBazaar"	0	"&7&9Angler VI
&7Grants &3+6α Sea Creature Chance&7.

&7Applicable on: &9Fishing Rod
&7Apply Cost: &375 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_ULTIMATE_COMBO_2"	"Combo II"	"HypixelBazaar"	0	"&7&d&lCombo II&r
&7Increases your damage by &c+2% &7per
&7kill up to &a4 &7kills within &a4s&7.

&cYou can only have 1 Ultimate
&cEnchantment on an item!

&7Applicable on: &9Melee Weapon
&7Apply Cost: &3100 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_CLEAVE_6"	"Cleave VI"	"HypixelBazaar"	0	"&7&9Cleave VI
&7Deals up to &a30% &7of your damage
&7dealt to other monsters within &a6
&7blocks of the target.

&7Applicable on: &9Melee Weapon
&7Apply Cost: &3200 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&9&lRARE&r"			
"ENCHANTMENT_GROWTH_2"	"Growth II"	"HypixelBazaar"	0	"&7&9Growth II
&7Grants &a+30 &c❤ Health&7.

&7Applicable on: &9Armor
&7Apply Cost: &320 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
"ENCHANTMENT_SMELTING_TOUCH_1"	"Smelting Touch I"	"HypixelBazaar"	0	"&7&9Smelting Touch I
&7Automatically smelts broken blocks
&7into their smelted form.

&7Applicable on: &9Axe&7, &9Hoe&7, &9Mining Tools&7,
&9Shovel
&7Apply Cost: &35 Exp Levels

&7Use this on an item in an Anvil to
&7apply it!

&f&lCOMMON&r"			
